"Title: Distribution of Total Population by Federal Poverty Level | KFF State Health Facts"
"Timeframe: 2022"
"Location","Under 100%","100-199%","200-399%","400%+","Total",Footnotes
"United States","40761000","51121300","96199300","136404400","324486000","1"
"Alabama","810200","919200","1535500","1651100","4916000"
"Alaska","79900","95300","197200","326200","698600"
"Arizona","903300","1222500","2290300","2773500","7189700"
"Arkansas","494700","614200","962900","881100","2952900"
"California","4606100","5846600","10493900","17240400","38187000"
"Colorado","525900","733900","1565200","2870100","5695100"
"Connecticut","347200","416300","878700","1864300","3506600"
"Delaware","85800","129500","306400","469000","990700"
"District of Columbia","84900","63100","110500","380100","638600"
"Florida","2763800","3784700","6882800","8262300","21693500"
"Georgia","1340900","1830500","3283600","4154800","10609800"
"Hawaii","145200","176600","394000","653700","1369500"
"Idaho","191400","351200","669300","673300","1885200"
"Illinois","1474100","1760600","3604000","5457400","12296100"
"Indiana","824300","1113200","2229500","2472400","6639400"
"Iowa","341200","465700","1042100","1252000","3101000"
"Kansas","348000","453300","966700","1070600","2838500"
"Kentucky","737700","795900","1379100","1464500","4377200"
"Louisiana","824000","884100","1327700","1415900","4451600"
"Maine","138900","208700","438000","562500","1348100"
"Maryland","576600","735400","1472400","3226700","6011200"
"Massachusetts","704000","775000","1559200","3719600","6757900"
"Michigan","1310800","1538800","3121000","3853900","9824500"
"Minnesota","537100","706700","1626700","2729900","5600400"
"Mississippi","539500","589100","892500","807800","2828900"
"Missouri","769200","1005200","1983200","2232400","5990000"
"Montana","136600","196200","364900","395700","1093400"
"Nebraska","200500","303700","630100","779400","1913700"
"Nevada","392600","557400","1035800","1139600","3125400"
"New Hampshire","92300","140700","388100","737300","1358400"
"New Jersey","885500","1082900","2177300","4945600","9091400"
"New Mexico","367000","387900","629000","673800","2057700"
"New York","2714300","2777100","4929300","8741100","19161800"
"North Carolina","1343400","1792000","3246200","3958600","10340200"
"North Dakota","82500","94600","230800","336100","744000"
"Ohio","1533700","1816100","3617200","4488600","11455600"
"Oklahoma","604300","780600","1233300","1263800","3881900"
"Oregon","493800","644900","1245600","1775200","4159500"
"Pennsylvania","1493100","1813000","3770600","5467700","12544400"
"Rhode Island","113600","134100","285400","515700","1048800"
"South Carolina","719100","904400","1656900","1837000","5117400"
"South Dakota","98300","143700","301400","330000","873400"
"Tennessee","923400","1246800","2241100","2464600","6875900"
"Texas","4084700","5245000","8711400","11281400","29322500"
"Utah","269600","479000","1147600","1425300","3321500"
"Vermont","61800","88600","182200","291800","624300"
"Virginia","892900","1095600","2239100","4105200","8332800"
"Washington","763800","928300","2069100","3841200","7602300"
"West Virginia","305600","329300","554000","529900","1718800"
"Wisconsin","618100","833000","1910600","2395900","5757500"
"Wyoming","65700","91100","190100","218400","565300"
"Puerto Rico","1325800","902000","665700","296900","3190400"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
